dir	example	argv	variant	status	exit	seconds	stdout_bytes	stdout_sha256
arkode/C_serial	ark_kpr_mri	5 4 0.001	ark_kpr_mri__5_4_0.001	OK	0	4.810	3466	8b64e56310278f2e
arkode/C_serial	ark_kpr_mri	6 5 0.001	ark_kpr_mri__6_5_0.001	OK	0	8.315	3486	4aec934e6f934551
arkode/C_serial	ark_kpr_mri	7 2 0.002	ark_kpr_mri__7_2_0.002	OK	0	0.507	3619	132e4972c1f8c5bc
arkode/C_serial	ark_kpr_mri	8 3 0.001 -100 100 0.5 1	ark_kpr_mri__8_3_0.001_-100_100_0.5_1	OK	0	1.307	3609	7a6794fce12bc4ea
arkode/C_serial	ark_kpr_mri	9 3 0.001 -100 100 0.5 1	ark_kpr_mri__9_3_0.001_-100_100_0.5_1	OK	0	1.306	3620	837353a4222b7797
arkode/C_serial	ark_kpr_mri	10 4 0.001 -100 100 0.5 1	ark_kpr_mri__10_4_0.001_-100_100_0.5_1	OK	0	1.708	3619	a1af72c45adf24f4
arkode/C_serial	ark_kpr_mri	11 2 0.001	ark_kpr_mri__11_2_0.001	OK	0	1.508	3634	019178989e8f6a7d
arkode/C_serial	ark_kpr_mri	12 3 0.005	ark_kpr_mri__12_3_0.005	OK	0	0.907	3615	ebc75d15a21555dc
arkode/C_serial	ark_kpr_mri	13 4 0.01	ark_kpr_mri__13_4_0.01	OK	0	0.707	3612	54c75c8dcfb1bc1f
arkode/C_serial	ark_KrylovDemo_prec		ark_KrylovDemo_prec	OK	0	0.306	26804	cd1f9ea2edce11f7
arkode/C_serial	ark_KrylovDemo_prec	1	ark_KrylovDemo_prec__1	OK	0	0.306	26804	cd1f9ea2edce11f7
arkode/C_serial	ark_KrylovDemo_prec	2	ark_KrylovDemo_prec__2	OK	0	0.306	26804	cd1f9ea2edce11f7
arkode/C_serial	ark_lotka_volterra_ASA	--check-freq 1	ark_lotka_volterra_ASA__--check-freq_1	OK	0	0.106	1203	1dedca0c7c36cdce
arkode/C_serial	ark_lotka_volterra_ASA	--check-freq 5	ark_lotka_volterra_ASA__--check-freq_5	OK	0	0.408	1206	dc5041cb38992948
arkode/C_serial	ark_onewaycouple_mri		ark_onewaycouple_mri	OK	0	0.106	1077	d27f3c1e2e62eb8d
arkode/C_serial	ark_reaction_diffusion_mri		ark_reaction_diffusion_mri	OK	0	5.811	2276	5bbc474d4b832528
arkode/C_serial	ark_robertson_constraints		ark_robertson_constraints	OK	0	0.106	6297	54f1e88dc2d789d7
arkode/C_serial	ark_robertson_root		ark_robertson_root	OK	0	0.105	1558	68bb728c141a33ff
arkode/C_serial	ark_robertson		ark_robertson	OK	0	0.106	6855	992654598dd4f394
